Rference number,URL address,initial_SMILES,optimized_SMILES,initial_QED,optimized_QED,initial_MolSkill,optimized_MolSkill,initial_DBPP,optimized_DBPP,initial_HADES,optimied_HADES,optimized_HADES_scs,initial_HADES_scs
1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01983,N[C@@H]([C@@H](C)OC)CN(C([C@H]1[C@H](C2=CC=CC=N2)C1)=O)C3=CC=C(C4=CC=C(COC)C=C4)C=C3,N[C@@H]([C@@H](C)OC)CN(C([C@H]1[C@H](C2=CC=C(F)C=N2)C1)=O)C3=CC=C(C4=CC=C(OC(C)C)C=C4)C=C3,0.4864330632707256,0.423199379521591,-10.261413,-11.206958,0.0655309758898839,0.439484498547393,0.0316016726085051,0.0525598080152336,0.08271332053311703,0.1021728066672194
2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01297?articleRef=test,O=C1N(C2=CC=C(CNC3CC(NC4=CC(C=NN5)=C5C=C4)CCC3)C=C2)C=CC(N)=N1,O=C1N(C2=CC(CN[C@H]3CCC[C@H](NC4=CC=C(NN=C5)C5=C4)C3)=CC=C2)C=C(F)C(C)=C1,0.3743039018705169,0.4030916671421302,-9.249561,-4.751275,0.0235070452853802,0.0191617718754491,0.0776599846065735,0.0410105360331847,0.20446117692916937,0.22506604125860333
3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c00525?articleRef=test,O=C(NC[C@](O)(C1=CC2=C(OC[C@]2(C)N)C(C3=CC=C(F)C=C3)=N1)C(F)(F)F)C4=CC=C(OC[C@H](O)C)C(OC)=C4,O=C(C1=CC2=CC(C)=NN=C2C(OC)=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,0.2834778979907761,0.2733550577937784,8.215147,9.140205,0.7376816015663247,0.4561362439831791,0.8245769591827637,0.8961278704962728,0.5149154666055622,0.4509824266934544
4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01334,O=C(C1=CC=CC=C1)NC2=NNC3=C2C=C(C4=CC=CN=C4)C=C3        ,O=C(C1=CC=C(NC(C=C)=O)C=C1)NC2=NNC3=C2C=C(C4=CC(NC[C@H](C5=CC=CC=C5)O)=CN=C4)C=C3        ,0.6026809042275678,0.1715861140514436,0.37257385,5.1370792,0.0236868468976158,0.8740493103011261,0.0049435859089948,0.0167791193520877,0.07232225559408789,0.10281581833914284
5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00805,OC(C1=CC=CC=C1CCC/3)C3=C\C(O)=O,OC(C1=CC=C(C2=CC=CC=C2)C=C1CCC/3)C3=C\C(O)=O,0.560069383536261,0.6551086369650436,12.41951,6.5902543,0.0468417831389304,0.0045320968765914,0.9118811099752044,0.9124139603903112,0.8551546317749432,0.8399303018089299
6,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c01398?articleRef=test,CCOC(=O)[C@@H](Cc1ncccn1)NC(=O)Nc1c2c(cc3c1CCC3)CCC2        ,OC(=O)[C@@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,0.7351146571866454,0.8424888477150083,13.568942,1.9485797,0.0053066683296365,0.0022761697337606,0.1171797416392748,0.1938127663622128,0.2177398581080953,0.09645593009993124
7,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c01551,OC[C@H](C1=CC=CC=C1)NC2=NC(NC3=CC=C(C(OC4(C)C)=O)C4=C3)=NC=C2C5=NN=CO5,OC[C@@H](N1)C2=C(OCCCCC3=CC(NC4=NC=C(C5=CN(CC(C)(O)C)N=C5)C1=N4)=CC=C3C#N)C=CC=C2        ,0.3506885300032225,0.2930013509004185,3.351028,5.744899,0.0393360636712978,0.8689472115723411,0.0697897240097805,0.0726630902809375,0.06399054054355749,0.1457987385723976
8,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c02453?articleRef=test,CC1=C2CC[C@@]([C@@H]2[C@@H]3[C@@H](CC1)[C@@H](C(=O)O3)CN(C)C)(C)O,O=C1O[C@@H]2[C@]3([H])[C@]4(CC[C@@]3(C)O)[C@](O4)(C)CC[C@H]2[C@@H]1CS(=O)(C5=C(Cl)C=CC=C5Cl)=O        ,0.6245976493991874,0.5322694220555402,13.2564945,7.3416944,0.016481804165796,0.0057853701725241,0.1140015641771442,0.2566321277103407,0.3013814457370961,0.1781777871464527
9,https://pubs.acs.org/doi/10.1021/acs.jmedchem.3c02183?articleRef=test,O=S(C1=CC(NC(C2=C(C=CC=C2)NC(C3=CC=CC=C3OC(C)C)=O)=O)=CC=C1)(C(F)(F)F)=O,O=C(N[C@H]1[C@H]([C@H]2C[C@@H]1CC2)C(NC3=CC=NC=C3)=O)C4=CC(O[C@H]5CC[C@H](CC5)C(O)=O)=C(F)C=C4OC,0.454594413631592,0.4748572765433025,7.725105,9.37488,0.3995642418292094,0.4138860727225883,0.0439467074402036,0.219202367648452,0.217595646127576,0.13661346488607146
10,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c00159?articleRef=test,COC(C(OC)=C1)=CC2=C1C(CCC3=CNC4=C3C=CC=C4)N(CC5CCOCC5)CC2,FC1=CC(C(CCC2C3=C(C=C(OCO4)C4=C3)CCN2CC5CCOCC5)=CN6)=C6C=C1,0.5590786104520351,0.6118949759798032,-11.589947,-4.7157464,0.8693304469678712,0.774149296707681,0.0577968872226491,0.0799806933370118,0.1434392947086856,0.3361728643604965
