iter	Passed	Remaining
0	63	50975
1	76	30433
2	88	23602
3	103	20661
4	117	18676
5	127	16905
6	136	15474
7	143	14215
8	149	13128
9	154	12241
10	160	11520
11	166	10926
12	172	10415
13	177	9972
14	183	9579
15	188	9215
16	193	8896
17	197	8588
18	202	8306
19	207	8078
20	211	7855
21	216	7643
22	220	7459
23	225	7288
24	229	7127
25	234	6979
26	239	6844
27	243	6716
28	248	6596
29	252	6484
30	257	6380
31	261	6286
32	266	6193
33	271	6110
34	275	6024
35	280	5944
36	284	5868
37	289	5798
38	293	5732
39	298	5665
40	302	5603
41	307	5543
42	311	5484
43	315	5429
44	320	5381
45	325	5334
46	329	5285
47	334	5238
48	339	5196
49	343	5153
50	348	5113
51	352	5074
52	357	5034
53	361	4998
54	366	4964
55	371	4942
56	376	4910
57	381	4877
58	385	4844
59	390	4812
60	394	4782
61	399	4751
62	403	4724
63	408	4696
64	412	4669
65	417	4643
66	422	4617
67	426	4590
68	430	4565
69	435	4541
70	439	4517
71	444	4494
72	448	4471
73	453	4452
74	458	4430
75	462	4408
76	467	4388
77	471	4368
78	476	4350
79	481	4329
80	485	4310
81	490	4293
82	494	4274
83	499	4255
84	503	4237
85	508	4218
86	512	4202
87	517	4184
88	521	4168
89	526	4153
90	530	4137
91	535	4122
92	540	4106
93	544	4090
94	548	4073
95	553	4059
96	559	4052
97	563	4038
98	568	4024
99	572	4010
100	577	3995
101	581	3980
102	586	3968
103	591	3955
104	595	3941
105	599	3927
106	604	3914
107	609	3903
108	613	3891
109	618	3879
110	623	3869
111	628	3860
112	633	3852
113	638	3841
114	643	3831
115	648	3821
116	653	3812
117	658	3803
118	662	3793
119	669	3794
120	675	3791
121	681	3787
122	688	3787
123	694	3788
124	701	3785
125	709	3797
126	718	3808
127	725	3809
128	732	3810
129	739	3808
130	744	3803
131	750	3799
132	757	3800
133	763	3796
134	769	3791
135	775	3786
136	781	3782
137	787	3776
138	793	3771
139	798	3763
140	803	3754
141	808	3744
142	812	3734
143	817	3725
144	822	3717
145	827	3708
146	833	3700
147	837	3690
148	842	3679
149	846	3669
150	851	3658
151	856	3649
152	860	3638
153	865	3628
154	869	3617
155	874	3608
156	878	3597
157	882	3587
158	887	3577
159	891	3567
160	896	3558
161	900	3547
162	905	3538
163	910	3529
164	914	3519
165	919	3510
166	923	3500
167	928	3491
168	932	3482
169	937	3473
170	941	3463
171	946	3455
172	950	3446
173	955	3438
174	960	3429
175	964	3420
176	969	3412
177	973	3403
178	978	3395
179	983	3386
180	988	3381
181	994	3375
182	998	3367
183	1003	3361
184	1008	3353
185	1013	3346
186	1019	3342
187	1025	3337
188	1030	3330
189	1038	3332
190	1042	3325
191	1047	3316
192	1052	3310
193	1057	3302
194	1061	3294
195	1066	3286
196	1071	3280
197	1076	3271
198	1080	3263
199	1085	3255
200	1089	3246
201	1094	3238
202	1098	3230
203	1103	3222
204	1107	3215
205	1112	3207
206	1117	3200
207	1121	3193
208	1126	3185
209	1131	3179
210	1139	3180
211	1146	3178
212	1151	3172
213	1158	3173
214	1163	3166
215	1168	3159
216	1173	3151
217	1177	3144
218	1183	3139
219	1187	3131
220	1192	3124
221	1197	3117
222	1201	3109
223	1206	3101
224	1211	3094
225	1215	3087
226	1220	3080
227	1225	3073
228	1229	3065
229	1234	3059
230	1238	3051
231	1243	3044
232	1248	3037
233	1253	3031
234	1257	3024
235	1262	3016
236	1266	3009
237	1271	3002
238	1276	2995
239	1280	2987
240	1285	2980
241	1289	2974
242	1296	2971
243	1301	2966
244	1306	2960
245	1312	2955
246	1319	2953
247	1324	2948
248	1329	2941
249	1334	2935
250	1339	2929
251	1344	2924
252	1349	2918
253	1355	2913
254	1361	2909
255	1366	2902
256	1370	2896
257	1375	2889
258	1380	2882
259	1384	2875
260	1389	2869
261	1394	2863
262	1399	2856
263	1403	2849
264	1408	2843
265	1413	2837
266	1419	2832
267	1424	2827
268	1429	2822
269	1435	2817
270	1440	2811
271	1444	2804
272	1450	2799
273	1455	2794
274	1461	2789
275	1466	2783
276	1470	2776
277	1475	2770
278	1479	2763
279	1484	2756
280	1489	2750
281	1493	2743
282	1498	2736
283	1502	2729
284	1506	2723
285	1511	2716
286	1515	2709
287	1521	2704
288	1526	2699
289	1532	2694
290	1537	2689
291	1543	2684
292	1548	2679
293	1553	2674
294	1558	2668
295	1563	2661
296	1567	2654
297	1572	2648
298	1576	2641
299	1581	2635
300	1585	2628
301	1590	2622
302	1595	2616
303	1600	2610
304	1605	2604
305	1615	2608
306	1623	2606
307	1631	2605
308	1640	2606
309	1649	2606
310	1657	2605
311	1667	2607
312	1676	2609
313	1685	2609
314	1694	2609
315	1703	2609
316	1713	2610
317	1722	2611
318	1732	2612
319	1743	2614
320	1753	2615
321	1763	2617
322	1772	2616
323	1780	2615
324	1789	2615
325	1798	2614
326	1805	2612
327	1813	2609
328	1819	2605
329	1826	2601
330	1832	2596
331	1838	2592
332	1844	2586
333	1849	2580
334	1854	2573
335	1858	2567
336	1863	2560
337	1869	2555
338	1875	2550
339	1880	2543
340	1886	2539
341	1891	2533
342	1896	2526
343	1902	2522
344	1908	2517
345	1914	2511
346	1919	2505
347	1924	2500
348	1929	2493
349	1935	2487
350	1940	2482
351	1945	2476
352	1950	2470
353	1955	2464
354	1960	2457
355	1964	2450
356	1969	2443
357	1974	2437
358	1978	2430
359	1983	2423
360	1987	2417
361	1992	2410
362	1996	2403
363	2001	2397
364	2006	2390
365	2010	2384
366	2015	2377
367	2020	2371
368	2024	2364
369	2029	2358
370	2033	2351
371	2038	2345
372	2043	2339
373	2047	2332
374	2052	2326
375	2056	2319
376	2061	2312
377	2066	2307
378	2072	2301
379	2076	2295
380	2081	2289
381	2086	2282
382	2090	2276
383	2095	2270
384	2100	2263
385	2106	2258
386	2114	2256
387	2120	2251
388	2127	2247
389	2133	2242
390	2139	2238
391	2146	2234
392	2152	2229
393	2158	2224
394	2164	2219
395	2170	2213
396	2175	2208
397	2181	2203
398	2187	2198
399	2192	2192
400	2198	2187
401	2203	2181
402	2208	2176
403	2214	2170
404	2218	2164
405	2223	2157
406	2228	2152
407	2233	2146
408	2238	2139
409	2242	2133
410	2247	2127
411	2252	2120
412	2256	2114
413	2261	2108
414	2266	2102
415	2271	2096
416	2275	2089
417	2280	2083
418	2284	2077
419	2289	2071
420	2294	2065
421	2298	2059
422	2303	2052
423	2307	2046
424	2312	2040
425	2317	2034
426	2321	2028
427	2327	2022
428	2331	2016
429	2336	2010
430	2341	2004
431	2345	1998
432	2350	1992
433	2356	1986
434	2360	1980
435	2364	1974
436	2369	1968
437	2374	1962
438	2378	1956
439	2383	1950
440	2387	1943
441	2392	1937
442	2396	1931
443	2401	1925
444	2405	1919
445	2410	1913
446	2415	1907
447	2419	1901
448	2424	1894
449	2428	1889
450	2433	1882
451	2438	1877
452	2442	1870
453	2446	1864
454	2451	1858
455	2456	1853
456	2461	1847
457	2466	1841
458	2471	1835
459	2475	1829
460	2480	1824
461	2485	1818
462	2489	1812
463	2494	1806
464	2499	1800
465	2504	1794
466	2508	1788
467	2513	1782
468	2517	1776
469	2522	1770
470	2526	1765
471	2531	1758
472	2535	1753
473	2540	1747
474	2545	1741
475	2549	1735
476	2554	1729
477	2559	1723
478	2563	1718
479	2568	1712
480	2572	1706
481	2577	1700
482	2582	1694
483	2587	1689
484	2591	1683
485	2596	1677
486	2600	1671
487	2605	1665
488	2610	1660
489	2614	1654
490	2619	1648
491	2623	1642
492	2628	1636
493	2632	1630
494	2637	1625
495	2642	1619
496	2646	1613
497	2650	1607
498	2655	1601
499	2660	1596
500	2664	1590
501	2669	1584
502	2674	1578
503	2678	1573
504	2683	1567
505	2687	1561
506	2692	1555
