SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
CC1=NC=C(C=N1)C2=CC3=C(C=C2)N(N=C3C(=O)C)CC(=O)N4C[C@@H](C[C@H]4C(=O)NC5=NC(=CC=C5)Br)F,0.272418297,0.208891882,3.710557938,0.1176432880600754,0.2189785335033389
C[C@H](C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl,0.476447318,0.413275248,-6.233778,0.3603255765354164,0.42347353336930205
C1C[C@@H](C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3,0.639739435,0.014009292,2.963732243,0.0661524432978692,0.2149751507333178
CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)/C=C/C(=O)C2=CC=C(C=C2)SC,0.405579695,0.027609552,-7.480195522,0.7311889421705597,0.7607352903728571
C[C@H](C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)N[C@H](C)C(F)(F)F,0.560616874,0.231835616,1.940787911,0.7333179465771608,0.5796021982264904
CCO[C@H](COC1=CC=C(C=C1)C(F)(F)F)CSC2=CC(=C(C=C2)OCC(=O)O)C,0.489371902,0.014265936,2.030088902,0.2784468915738762,0.3323263026049018
C[C@@H](C(=O)N)NC1=CC2=C(C=C1)C3=NC(=CN3CCO2)N4[C@@H](COC4=O)C(F)F,0.782117245,0.016665576,1.02549088,0.5584256877664432,0.24618716921743852
C[C@@H]1CN(C[C@@H](N1)C)C(=O)C2=CC=C(C=C2)NC(=O)C3=NN=C(C(=C3)O[C@H](C)C4=C(C=CC(=C4Cl)F)Cl)N,0.372542347,0.500907681,-2.283275366,0.6530714475350795,0.28736089271377613
C[C@H](COC1=CC=C(C=C1)C2=CN=C3N2N=C(C=C3)N[C@H](C)C4=CC(=CC=C4)F)N,0.475477757,0.32415421,-7.786444187,0.2851607479067317,0.11648572390095532
CCCCN(CCCC)C(=O)CN1C[C@@H]([C@H]([C@@H]1C2=CC=C(C=C2)OC)C(=O)O)C3=CC4=C(C=C3)OCO4,0.443001971,0.447029912,4.544670582,0.1108193610397096,0.49627369516790665
C1CC2=CC(=NC=C2OC1)CNC3CCN(CC3)C[C@@H]4CN5C(=O)C=CC6=C5N4C(=O)C=N6,0.624388307,0.005363133,2.843274593,0.1140196496706912,0.23238384166944842
C[C@H]1[C@H]([C@@H](O[C@@]1(C)C(F)(F)F)C(=O)NC2=CC(=NC=C2)C(=O)N)C3=C(C(=C(C=C3)F)F)OC,0.646970166,0.034753947,11.32500362,0.3579525171609197,0.6769543024469578
CCO[C@H]1CCN([C@@H](C1)C2=CC=C(C=C2)C(=O)O)CC3=C(C=C(C4=C3C=CN4)C)OC,0.564966587,0.151110657,8.571471214,0.6979512227244512,0.33920143313394346
C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,0.477143385,0.030682007,-4.742168903,0.0744675649361876,0.17788119656815932
CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,0.272418297,0.208891882,3.710557938,0.1176432880600754,0.2189785335033389
CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,0.405579695,0.027609552,-7.480195522,0.7311889421705597,0.7607352903728571
NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,0.477143385,0.030682007,-4.742168903,0.0744675649361876,0.17788119656815932
COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1,0.501307725,0.008257407,-5.331898212,0.9833678434262156,0.10596580979167236
C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,0.476447318,0.413275248,-6.233778,0.3601827156912384,0.42347353336930205
CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,0.489371902,0.014265936,2.030088902,0.2784468915738762,0.3323263026049018
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,0.447967626,0.631240285,2.989322186,0.3912135088510678,0.5982619869446297
C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,0.647764808,0.207073361,-6.421180248,0.0842698416094348,0.15857296993836711
CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,0.564966587,0.151110657,8.571471214,0.6979512227244512,0.33920143313394346
NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,0.639739435,0.014009292,2.963732243,0.0661524432978692,0.2149751507333178
C=C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,0.13916059,0.998520921,15.73158741,0.9224299085387676,0.38270986106280447
