Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
0,ClC=CC=C(CCCCCOC1=CC=CCN(CCC1)C(=S)NC(=O)C2=CC=C(Br)C=C2)CO,0.19885947,0.823580486,19.426083,0.0338582781474926,0.3017813834342448
1,COC=C1C=C(NC(=O)NC2=NC=3C=NN(CCC4=CC=CC=C4)C=3C=NC(=NN2CO)C=CCO)C=C1,0.316600954,0.841574544,3.096511,0.0492653173232428,0.11142739153347551
2,CCC(C(C)N1N=NN=C1)COC2CCCC2C3=CC4=CC(C)=CC(C)=C4N=C3O,0.618954654,0.003372073,-1.0770926,0.0336863092983051,0.08135169710103266
3,CCOCCN(CC)CCl,0.33648926,0.993039224,-2.3006752,0.0072705060682288,0.1872285948675259
4,NC(=O)C=C(NC(F)NCCCCN(C)CSN=C)OCC1=C(F)C=C(Br)C=C1F,0.063696727,0.337369321,11.438225,0.0113896788566523,0.1957193534067169
5,CCOC(=O)C=CC=C(NC(=O)CSC1=NN=CC=C1C=CC)C2=CC=CC=C2,0.292974103,0.014816533,13.543394,0.019330862260659,0.2634740745304301
6,CC=1ON=C(C=1)[C@](C)(O)C#CC2=CC3=COC[C@@](CO)C4=CC(=NN4C3=C2)C(=O)N,0.640207127,0.068113439,11.931157,0.097413622248537,0.10207673339582943
7,C1C[C@H1]2N(C3COC3)C4=NC(=NCN4N(C)C2=O)NC=CC=C1CC=C(F)C=C,0.72731366,0.001479007,19.575659,0.022093797882845,0.08810631434567281
8,CC1=CC=CC(NC(=O)NC2=CC=C(C=C2)C3=CSC4=C(C=NC(N)=C34)C#CCN5CCOCC5)=C1,0.337951446,0.122294222,2.0952215,0.0138288224993673,0.09366258668620138
9,CNC(CCC)(C)N,0.53207833,0.997851966,17.85487,0.1115209889672262,0.2237571414730942
10,C1COC(=O)CN=C(S2CC(=O)NCC(OC)=C2)N=C1N,0.43563408,0.256156307,-0.5947293,0.0626674349880589,0.3672932370524832
11,C1(=O)NC(=O)C=CC(NC(=O)CBr)=C1,0.737354155,0.719947202,-16.23547,0.6092423788028366,0.6293197806349674
12,NC=N[C@@H1]CCC=CC=CNC(C1=CC=CC(F)=C1)F,0.251686625,0.006307744,27.243383,0.2093405269669577,0.3318373568798629
13,C=1CSC=C(C(=N[C@H1](CC(=O)OOCC(C)C)C=NN=C2C=N)C(Cl)C=C2)C=1C,0.280376068,0.005621193,20.37802,0.0110363270108894,0.14876952455385983
