Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
0,C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.317211732,0.99976837,57.968758,0.8488991324599465,0.28512894271958933
1,O=P(OC(=CBr)c1ccc(cc1Cl)Cl)(OC)OC,0.529827237,0.881300262,7.5374837,0.4166936055723158,0.3582140536388851
2,O=P(OC(=CCl)c1ccc(cc1Cl)Cl)(OC)OC,0.565568225,0.402099317,14.141093,0.6620222001921351,0.37451720524217247
3,O=C(Nc1ccc(OC)cc1)C(=C)Cl,0.780088055,0.989426468,1.5342764,0.0282844850688364,0.2877585103589579
4,O=[N+]([O-])c1ccccc1C2OCC(O2)CCl,0.464068911,0.012433613,5.4610777,0.7082101197698645,0.3332755422727489
5,O=C(Nc1cc(F)ccc1(F))NC2CC2,0.775129508,0.047458561,-13.662486,0.2690757435258371,0.3223104339306448
6,O1c2ccc(cc2(OC1))C(N(C)C)=S,0.655545718,0.662141746,12.11828,0.0466320115237814,0.18897116539232534
7,O=C(Oc1cccc2OCCOc12)NC,0.754011039,0.992029622,0.6361364,0.4052583277460439,0.39555848996890436
8,O(c1cc(c(cc1Cl)Br)Cl)P(OCC)(OCC)=S,0.475181046,0.954928196,8.784156,0.6724592711197869,0.4069929489220584
9,O(c1cc(c(cc1Cl)I)Cl)P(OCC)(OCC)=S,0.341679096,0.966529107,5.5576572,0.5608612346424314,0.43147926927891866
10,O=[N+]([O-])c1ccc(OP(=O)(OCCCl)OCCCl)cc1,0.294389828,0.998489922,17.959146,0.8154952968851429,0.6002807192442747
11,O(c1cc(c(cc1Cl)Cl)Cl)P(OCC)(CC)=S,0.531352797,0.948346588,8.128642,0.5694958279825343,0.31752838834662334
12,N#CC2CC1CC2(C(=NOC(=O)NC)C1Cl),0.429336647,0.002002066,10.005578,0.0115588243682521,0.06043333204875197
13,O=C(Oc1cc(c(cc1Cl)C)C)NC,0.779118666,0.278567684,4.0602975,0.0388496301008058,0.2598901884636701
14,O=C(O)CC(c1ccc(cc1)Cl)CN,0.802631633,0.999863642,0.81893504,0.996330588057452,0.8088085387961522
15,O=NN(C(=O)C)c1ccc(OCC)cc1,0.562091706,0.991115564,10.022878,0.0640593522235894,0.10749184780444068
16,O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-],0.642655862,0.996542232,7.698714,0.0690193877496753,0.1799167164093543
17,O(C(C)C)P(CCl)(=S)Sc1ccc(cc1)Br,0.509273919,0.240718224,7.7215676,0.4268057235666954,0.193436476364143
18,O=[N+]([O-])c1ccc(OC)c(c1)CNCCBr,0.376766305,0.042687875,15.451148,0.0579766502554835,0.3800084000863475
19,O(c1ccc(cc1Cl)Cl)P(OCC)(CC)=S,0.731733045,0.812055965,6.3482976,0.6930675498410014,0.25213380563194154
20,O(c1cc(ccc1Cl)Cl)P(OCC)(CC)=S,0.731733045,0.699837155,4.9805017,0.55034541786927,0.24143228138149797
21,O(c1ccc(cc1Cl)Cl)P(OCC)(OCC)=S,0.713103546,0.862696441,11.748038,0.8229801709228125,0.374264911848004
22,O(CCC)P(CCl)(=S)Sc1ccc(cc1)Cl,0.516142217,0.891709091,9.4099,0.6989916543108428,0.24481112151862588
23,O(c1ccc(cc1Cl)Cl)P(C)(=S)SCCC,0.668252386,0.841332955,3.1658955,0.7774055201893105,0.38120911519578793
24,O(C(C)C)P(CCl)(=S)Sc1ccc(cc1)Cl,0.534356891,0.720488529,6.4356112,0.5767626338758883,0.18639840852113024
25,Fc1ccc(cc1)SP(OC(C)C)(CCl)=S,0.56798622,0.074150039,9.738365,0.3211334141015039,0.18387882059523392
26,N(=CN(C)C)c1ccc(cc1C)Cl,0.524797177,0.999090676,-7.797423,0.014824641856386,0.2449154892195437
27,O=[N+]([O-])c1ccc(OC)c(c1)CNCCCl,0.359466529,0.046128079,18.002003,0.1522668123940994,0.40548924552588533
28,O=[N+]([O-])c1ccc(OP(OCC)(CC)=S)c(c1)Cl,0.451452556,0.825794541,9.131092,0.3076145703214708,0.40077380946852487
29,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)c(c1)Cl,0.429596911,0.860243691,15.915418,0.5951984109351979,0.5582970234968723
30,O=[N+]([O-])c1cc(OP(OCC)(OCC)=S)ccc1Cl,0.429596911,0.883141148,17.550228,0.4140543852246556,0.5336665576294106
31,O=C(OC)c1cccc(N=NN(C)C)c1,0.432647227,0.04736044,10.983142,0.0607511530727038,0.3905921850082218
32,O=C(Oc1ccc(c(c1)C)C)NC,0.715837102,0.992712284,1.3820864,0.0067606062840162,0.15610973729224722
33,O=C(Oc1ccc(c(c1)C)SC)NC,0.763463162,0.174064547,-3.557259,0.0609321357983108,0.24125662430738576
34,n1c(cccc1Cl)N2CCC(N)CC2,0.718944474,0.050307445,0.043928742,0.3618832068401074,0.21174164118336208
35,O(c1ccc(cc1)Cl)P(OCC)(CC)=S,0.746690972,0.998120679,10.1271715,0.718769143310015,0.22492346087318488
36,O=P(OCC)(CC)Sc1ccc(cc1)Cl,0.722381078,0.846898962,14.449679,0.6434581336368174,0.17207613835105628
37,O(C)P(OC)(=S)SCCSc1ccc(cc1)Cl,0.409454627,0.682415869,20.70864,0.4462883970086267,0.3117340314712919
38,O(C)P(CC)(=S)Sc1ccc(c(c1)C)Cl,0.738968175,0.205884375,7.561237,0.1336959736828402,0.20692409365157186
39,n1cccc(c1)C2N(C)CCC2,0.626151823,0.999825519,7.0423017,0.9961870877047028,0.7176644884510455
40,c1ccc(cc1)N2CCNCC2,0.664835869,0.998813002,4.91264,0.0221853450695737,0.18836231594506345
41,n1cccc(c1)C2NCCCC2,0.681814979,0.998111195,14.873748,0.0728351883808385,0.18703311459932453
42,O=[N+]([O-])c1ccc(OC)c(c1)CNCCO,0.423154694,0.01661885,12.237216,0.14920414608325,0.3893714225131248
43,O=[N+]([O-])c1ccc(OP(=O)(OCC)SCC)cc1,0.430793999,0.917523973,15.041739,0.2601193718972079,0.5002203473354581
44,O=[N+]([O-])c1ccc(OP(OC)(OC(C)C)=S)cc1,0.454870129,0.99889774,11.462838,0.5937348027718731,0.41404383888336016
45,O=[N+]([O-])c1ccc(OP(=O)(OCC)OCC)cc1,0.43117691,0.998718155,7.311087,0.7042894654395998,0.6497305828669774
46,O=C(OCCOCCOC(=O)C=C)C=C,0.333526082,0.99772356,17.272175,0.3365579027851151,0.4381499068178572
47,NC(C)(C)Cc1ccccc1,0.683167633,0.999344397,15.60278,0.616191471592939,0.5128058845970014
48,NC(C)Cc1ccc(cc1)C,0.682350106,0.999171876,3.4437609,0.1110697371916872,0.2850046077188589
49,c1ccc(cc1)CC(NC)C,0.691108551,0.999908592,10.3398285,0.0265423549540839,0.6897083978673811
50,n1cnn2c1nc(cc2N(CC)CC)C,0.756894396,0.304756563,3.3876777,0.0178424766203949,0.21634513111753692
51,N#CC1(C)(CC(=O)CC(C)(C)C1),0.552242567,0.311429583,12.753654,0.1588717500890082,0.22219872933632462
52,O=C(OC(C)(C)CC)Nc1occc1,0.809810707,0.018638412,-14.071932,0.0586682803778305,0.19088722003303862
53,O=P(OCC)(CC)Sc1ccccc1,0.71424255,0.648627473,16.529976,0.3241645438818034,0.17155056162473042
54,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,0.605654616,0.999093863,18.256586,0.5186401814988454,0.280787499519946
55,O=P(Oc1ccc(cc1)S(=O)(=O)C)(OC)CC,0.773003429,0.157782834,15.117503,0.2447868376745864,0.44888312350735954
56,O=C1OC(=CC(OP(=O)(OCC)OCC)=C1)C,0.733033751,0.206127596,12.617361,0.8166517403752683,0.41262528911341406
57,O=P(Oc1ccc(c(c1)C)S(=O)(=O)C)(OC)OC,0.774383154,0.13416411,12.62495,0.5559098852422407,0.4755834007851118
58,O(c1ccccc1)P(C)(=S)SCCC,0.722317185,0.516310447,12.566571,0.3701586477294452,0.261266457151341
59,O(c1ccc(c(c1)C)SC)P(C)(C)=S,0.593559787,0.998626276,-5.7319336,0.4946739539386651,0.2686605850508227
60,O=C1C=C(C(=NN1CSP(OCC)(OCC)=S)Cl)C,0.709247497,0.400796786,-1.0720959,0.1026782187277117,0.2762626201808881
